Age,EPP,Fledgling,Tarsus,Wing,Weight,Heterozygosity,Badge
2,0,4,18.1,78,-1.49,1.19,36
2,0,3,18.8,80,-0.06,1.02,32.3
2,3,4,19.4,80,1.79,1.11,39.4
2,1,1,19.7,80,0.75,0.94,38
2,0,5,16.9,79,-1.78,1.19,37.4
2,1,0,20.2,82,1.66,1.11,35.7
2,1,4,20,80,2.31,1.19,35.9
2,0,2,17.5,80,-0.52,1.11,34.2
2,0,4,18.9,80,-0.54,1.11,37.6
2,0,2,19.3,82,0.27,1.02,38.1
2,0,2,19.1,83,1.17,1.11,39.4
2,0,5,18.4,81,-1.21,0.77,36
2,2,3,18.2,78,-1.38,1.02,33.6
2,0,3,18.5,78,0.15,0.85,38.9
2,0,6,19.4,80,2.34,0.85,40.2
2,0,3,20,79,-0.53,0.94,35.3
2,0,7,19.3,80,0.44,1.11,37.5
2,0,3,17.4,76,-1.74,1.02,36
1,0,3,17.6,76,-1.16,1.11,39.2
1,0,1,17.3,80,-1.1,1.02,33.7
1,0,2,20,81,-1.83,1.11,36.2
1,0,4,18.8,78,1.72,0.94,35.1
1,0,1,19,77,-0.08,0.85,36.4
1,0,4,19.2,78,1.23,1.11,34.5
1,0,0,18.8,79,0.95,1.02,38.1
1,0,0,17.8,79,-1.1,0.94,32.6
1,0,0,18.8,80,-0.33,0.6,37.4
1,0,2,18.9,78,-0.32,1.02,31.5
1,0,1,20.1,80,4.05,1.02,36.1
1,0,3,18,79,-2.48,0.94,34.3
1,0,0,18.1,79,-2.66,1.02,32.6
1,0,4,19.4,80,0.17,1.16,35.2
1,1,1,19.6,81,1.54,1.11,37.2
1,0,1,19.2,79,1.04,0.85,36.7
1,0,0,19.5,78,-0.53,1.02,33.9
1,0,0,18.6,78,-1.67,0.85,35.5
1,0,0,19,79,-1.4,0.85,35.7
1,0,1,18.1,79,1.72,0.68,38.7
1,0,0,19.3,76,0.32,0.94,38.8
1,0,0,18.6,77,-0.4,0.85,37.7
1,0,5,18.8,80,0.63,1.19,35.6
1,0,0,17.1,78,-1.45,1.11,36.5
1,0,2,19,77,-0.7,0.94,34.7
1,0,6,19.8,78,2.01,1.11,36.7
4,0,2,18.9,82,1.54,0.85,41.5
4,0,4,18.2,79,-0.42,0.94,36.7
2,5,6,19.5,77,-0.74,1.02,35.4
2,0,4,18.3,78,-0.89,0.68,36.8
2,0,5,17,77,-1.76,1.11,33.5
4,1,3,19.6,79,-0.22,1.02,38.8
4,0,0,19.1,79,-1.39,0.94,37.7
3,2,5,17.7,77,-0.64,1.02,35.1
3,2,0,18.2,76,0.1,1.02,40.3
3,1,3,18.1,76,-0.56,1.02,36.7
3,0,1,18.7,79,-0.35,1.11,34.5
3,0,3,18.2,78,-1.4,1.11,36.9
3,4,0,19.8,80,1.91,0.68,40.6
3,2,4,18,80,-0.55,1.02,40.5
3,3,5,18,79,-0.55,0.94,36.6
3,0,4,17.8,77,-0.88,0.94,34.7
4,0,6,18.8,80,-0.67,1.02,38.4
4,8,6,18.7,81,2.54,1.02,34.3
4,0,4,17.6,78,-1.39,1.11,38.2
4,0,4,17,78,-2.35,0.85,38.7
4,3,3,18.3,78,0.32,1.11,37.7
4,0,3,18.1,78,-0.53,1.02,40.5
4,3,7,18.7,80,-1.24,1.02,35.1
4,13,0,19.4,81,2.84,1.02,40.1
4,1,0,18.9,80,0.84,1.11,35.8
3,4,1,19,81,1.84,1.19,37.2
3,1,7,18.1,81,1.77,1.11,36.6
3,9,4,19.4,81,0.13,0.94,34.4
3,6,4,20,80,3.94,1.11,33.4
2,1,6,18.9,79,-0.16,1.11,36.8
2,8,2,17,77,-2.57,0.77,37.8
2,1,5,17.9,81,-2.76,1.19,38
