i,j,k,fate,julcapt,sex,mass_cap,timber,new_hoof_mm,VIT,year
10,23,24,1,154,1,1.9,1,0,0,2011
10,69,70,0,154,1,2.5,1,0,0,2011
14,14,15,1,158,1,2.4,1,0,0,2011
13,16,17,1,157,1,2.1,0,0,0,2011
16,69,70,0,160,1,2.1,1,0,0,2011
18,47,48,1,162,1,2.7,1,0,0,2011
26,69,70,0,170,1,2.6,1,0,0,2011
26,32,33,1,170,1,2.2,1,0,0,2011
8,10,11,1,152,0,2.5,1,0,0,2011
13,69,70,0,157,0,2.5,1,0,0,2011
13,69,70,0,157,0,1.7,1,0,0,2011
14,25,26,1,158,0,2.9,1,0,0,2011
18,69,70,0,162,0,1.8,0,0,0,2011
26,69,70,0,170,0,3,0,0,0,2011
61,69,70,0,205,0,1.4,1,0,0,2011
16,26,27,1,160,0,2,0,0,0,2012
22,27,28,1,166,0,2.5,1,0.6,0,2012
12,17,18,1,156,0,3.2,0,0.7,0,2011
22,27,28,1,166,0,2.3,1,0.7,0,2012
17,69,70,0,161,0,2.5,1,0.8,0,2011
18,25,26,1,162,0,2.5,1,0.9,0,2011
11,15,16,1,155,1,3.1,1,1,0,2011
13,17,18,1,157,0,2.6,1,1,0,2012
30,69,70,0,174,0,2.5,1,1.1,0,2011
39,69,70,0,183,0,3.3,1,1.2,0,2011
20,69,70,0,164,1,3,1,1.5,0,2012
22,69,70,0,166,1,4.1,1,1.5,0,2012
31,34,35,0,175,1,3.3,1,1.5,0,2012
15,69,70,0,159,0,2.9,1,1.5,0,2012
43,69,70,0,187,0,3,1,1.5,0,2012
18,26,27,0,162,1,3.3,1,1.9,0,2011
18,27,28,1,162,0,4.1,1,1.9,0,2011
16,19,20,1,160,0,4,0,1.9,0,2011
29,69,70,0,173,1,4,0,1.9,0,2012
23,69,70,0,167,0,3.1,0,1.9,0,2012
16,69,70,0,160,1,3.4,1,2,0,2011
29,69,70,0,173,0,3.5,1,2,0,2011
17,21,22,1,161,1,4.4,0,2,0,2012
21,69,70,0,165,1,2.5,0,2,0,2012
25,69,70,0,169,0,3.2,1,2,0,2012
18,21,22,1,162,1,2.6,0,2.1,0,2012
27,69,70,0,171,0,4.2,0,2.1,0,2012
33,69,70,0,177,0,3.2,1,2.1,0,2012
52,56,57,1,196,0,2.3,1,2.1,0,2012
16,18,19,1,160,1,3.5,1,2.15,0,2011
18,26,27,1,162,0,4,0,2.3,0,2011
13,24,25,1,157,1,3.5,1,2.3,0,2012
18,69,70,0,162,0,4,1,2.3,0,2012
12,23,24,1,156,1,2,1,2.5,0,2011
13,16,17,1,157,1,2.7,1,2.6,0,2011
20,69,70,0,164,1,4.1,1,2.6,0,2011
20,23,24,1,164,0,2.6,1,2.6,0,2011
19,26,27,0,163,1,3.4,1,2.7,0,2012
29,69,70,0,173,0,3.7,1,2.7,0,2012
30,32,33,0,174,1,2.7,1,2.8,0,2012
6,69,70,0,150,1,2.85,1,2.9,0,2011
13,35,36,0,157,1,3.6,1,2.9,0,2012
15,69,70,0,159,0,3.5,1,3,0,2011
34,69,70,0,178,1,3.7,1,3,0,2012
23,69,70,0,167,1,4.5,1,3.1,0,2012
28,69,70,0,172,1,4.7,1,3.1,0,2012
15,69,70,0,159,0,3,1,3.2,0,2012
31,69,70,0,175,1,4.6,0,3.4,0,2012
33,69,70,0,177,1,3.7,0,3.4,0,2012
20,69,70,0,164,1,3.9,1,3.5,0,2011
26,69,70,0,170,1,2.8,1,3.5,0,2012
28,43,44,1,172,0,3,0,3.5,0,2012
18,51,52,1,162,0,3.1,1,3.6,0,2012
26,28,29,1,170,1,4,1,3.9,0,2011
38,69,70,0,182,1,3.5,1,3.9,0,2012
29,69,70,0,173,1,4.7,0,4.1,0,2012
11,69,70,0,155,0,3.5,0,4.3,0,2011
18,69,70,0,162,1,4.7,1,4.5,0,2011
5,69,70,0,149,1,3.4,1,4.9,0,2011
30,69,70,0,174,0,4.3,1,5,0,2011
14,69,70,0,158,1,3.1,0,5.5,0,2011
23,35,36,0,167,1,3.1,1,5.7,0,2012
10,69,70,0,154,0,3.4,1,0,1,2011
14,69,70,0,158,0,2.2,1,0,1,2011
5,69,70,0,149,1,2.8,1,0,1,2012
10,17,18,1,154,1,2.5,0,0,1,2012
15,69,70,0,159,1,2.6,1,0,1,2012
15,16,17,1,159,1,2.4,1,0,1,2012
19,25,26,1,163,1,2.6,0,0,1,2012
21,69,70,0,165,1,2.9,1,0,1,2012
4,69,70,0,148,0,2.8,1,0,1,2012
10,12,13,1,154,0,1.9,1,0,1,2012
11,69,70,0,155,0,2.5,1,0,1,2012
15,15,16,1,159,0,1.2,1,0,1,2012
20,69,70,0,164,0,3.3,1,0,1,2012
21,25,26,1,165,0,1.7,0,0,1,2012
16,16,17,1,160,0,2.54,1,0,1,2011
7,12,13,1,151,1,2.5,0,0,1,2011
13,25,26,1,157,1,3.6,0,0,1,2011
9,10,11,1,153,1,2.1,1,0,1,2011
22,22,23,1,166,0,2.54,0,0,1,2011
11,69,70,0,155,0,2.8,1,0,1,2011
8,30,31,1,152,0,2.4,1,0,1,2011
14,30,31,0,158,1,2.8,0,0,1,2011
8,8,9,1,150,1,2.73,1,0,1,2011
30,30,31,1,172,0,2.54,1,0,1,2011
16,16,17,1,160,1,2.73,1,0,1,2011
22,22,23,1,166,1,2.73,1,0,1,2011
21,22,23,0,165,1,2.2,0,0,1,2012
32,69,70,0,176,1,3,0,0,1,2012
46,69,70,0,190,0,2.6,1,0,1,2012
46,69,70,0,190,0,2.5,1,0,1,2012
