Individual ID,EntryMonth,ExitMonth,TotalMonth,Event,Sex,Mortality Cause,Mortality Detail,_13C,_15N,% Diet Herbivore,Housing Density
F03,60,71,11,0,F,,,-21.34,6.80,65%,6.19
F04,45,71,26,0,F,,,-21.48,7.27,62%,0.00
F05,25,63,38,1,F,Human,Euthanasia,-20.73,8.33,,10.08
F06,41,71,30,0,F,,,-21.34,7.81,55%,7.59
F07,8,40,32,1,F,Human,Roadkill,-21.17,8.73,45%,23.14
F10,47,71,24,0,F,,,-21.46,8.61,48%,40.91
F11,32,56,24,1,F,Human,Euthanasia,-22.03,7.19,67%,21.90
F12,44,71,27,0,F,,,-21.83,7.42,63%,2.59
F13,31,71,40,0,F,,,-21.32,7.75,55%,1.70
F14,23,55,32,1,F,Unknown,Unknown,-22.17,6.60,,0.23
F17,44,71,27,0,F,,,-20.84,8.41,45%,26.10
F18,34,56,22,1,F,Unknown,Unknown,-21.86,8.54,53%,36.22
F19,9,64,55,1,F,Natural,Intraspecific,-21.53,6.99,65%,0.00
F22,38,47,9,1,F,Human,Euthanasia,-20.55,8.63,41%,19.50
F23,40,71,31,0,F,,,-20.83,8.35,45%,6.17
F24,6,71,65,0,F,,,-21.48,8.13,53%,2.72
F25,65,71,6,0,F,,,-21.55,7.32,61%,2.96
F26,49,71,22,0,F,,,-21.95,7.41,65%,0.29
F27,33,68,35,1,F,Natural,Intraspecific,-21.37,7.18,62%,4.94
F28,53,70,17,0,F,,,-21.96,7.23,68%,0.03
F29,29,45,16,0,F,,,,,,14.80
F30,18,31,13,0,F,,,,,,39.82
F31,9,11,2,1,F,Unknown,Unknown,,,,46.08
F32,5,18,13,0,F,,,,,,17.51
F33,10,19,9,1,F,Human,Euthanasia,,,,65.23
F34,18,41,23,1,F,Natural,Injury,,,,14.16
F35,31,61,30,0,F,,,,,,14.43
F36,19,23,4,1,F,Human,Euthanasia,,,,36.87
F37,7,7,0,1,F,Human,Roadkill,,,,17.62
M03,8,11,3,1,M,Human,Euthanasia,-20.63,8.48,42%,1.91
M04,43,58,15,1,M,Unknown,Unknown,-21.90,7.44,64%,0.00
M05,69,71,2,0,M,,,-21.18,9.33,41%,0.44
M10,44,71,27,0,M,,,-21.69,7.66,61%,0.96
M12,45,58,13,1,M,Human,Euthanasia,-21.84,7.94,58%,12.58
M14,9,33,24,1,M,Human,Roadkill,,,,2.30
M15,10,71,61,1,M,Human,Euthanasia,,,,2.51
M16,49,50,1,0,M,,,,,,0.00
M17,33,46,13,0,M,,,,,,1.62
M18,43,56,13,1,M,Unknown,Unknown,,,,18.13
M19,1,20,19,1,M,Natural,Injury,,,,5.72
M20,5,7,2,1,M,Natural,Intraspecific,,,,8.79
M21,30,59,29,1,M,Human,Euthanasia,,,,1.37
M22,44,66,22,1,M,Human,Hunting,,,,3.29
M23,5,32,27,1,M,Human,Hunting,,,,2.99
M24,11,53,42,1,M,Human,Euthanasia,,,,2.73
M25,32,44,12,1,M,Human,Hunting,,,,15.52
